"Date","Account","Description","Debit/Credit","Category","Sub-Category","Taxable","Amount"
"05/21/2025","Credit Card","WAL-MART #1438 CEDAR CITY UT","Debit","Food & Dining","Groceries","No","-76.01"
"05/15/2025","Main","GUSTO/PAY 880102","Credit","Uncategorized","Uncategorized","No","907.67"
"05/14/2025","Credit Card","GOLDEN GATE FILLMORE FILLMORE UT","Debit","Travel & Transportation","Gas & Fuel","No","-29.73"
"05/12/2025","Main","XFR from x4780 to x4327-Pay off card","Debit","Miscellaneous Income","Deposit","No","-214.81"
"05/12/2025","Credit Card","PAYMENT - THANK YOU","Credit","Transfers & Adjustments","Credit Card Payment","No","214.81"
"05/11/2025","Main","XFR from x4780 to x4327-Pay off card","Debit","Miscellaneous Income","Deposit","No","-214.81"
"05/10/2025","Credit Card","LIN'S SUPERMARKET # SALT LAKE CITUT","Debit","Food & Dining","Groceries","No","-5.14"
"05/09/2025","Credit Card","LIN'S SUPERMARKET # SALT LAKE CITUT","Debit","Food & Dining","Groceries","No","-32.67"
"05/08/2025","Credit Card","HERMIES DRIVE IN CEDAR CITY UT","Debit","Food & Dining","Restaurants","No","-9.38"
"05/08/2025","Credit Card","STATE FARM INSURANCE 800-956-6310 IL","Debit","Services","Accounting & Financial Services","No","-92.67"
"05/03/2025","Credit Card","TMOBILE*PREPD AUTOPY 877-778-2106 WA","Debit","Uncategorized","Uncategorized","No","-11.10"
"05/02/2025","Credit Card","SP GOOD STUFF GROCERY 120-64271639 WA","Debit","Food & Dining","Restaurants","No","-3.30"
"05/01/2025","Main","GUSTO/PAY 404984","Credit","Uncategorized","Uncategorized","No","423.66"
"04/30/2025","Credit Card","WSFERRIES-COLMAN DOCK SEATTLE WA","Debit","Travel & Transportation","Public Transit","No","-20.50"
"04/30/2025","Credit Card","PIKE PLACE GIFT SEATTLE WA","Debit","Uncategorized","Uncategorized","No","-11.02"
"04/30/2025","Credit Card","CJS EVERGREEN GENERAL S BREMERTON WA","Debit","Uncategorized","Uncategorized","No","-8.50"
"04/28/2025","Main","XFR from x4780 to x4327-Pay off credit card","Debit","Miscellaneous Income","Deposit","No","-131.47"
"04/28/2025","Main","TELLER CHECK","Debit","Miscellaneous Expenses","Check","No","-700.00"
"04/28/2025","Credit Card","PAYMENT - THANK YOU","Credit","Transfers & Adjustments","Credit Card Payment","No","131.47"
"04/27/2025","Credit Card","CHEVRON 0072828 CEDAR CITY UT","Debit","Travel & Transportation","Gas & Fuel","No","-33.45"
"04/26/2025","Main","Withdrawal Transaction","Debit","Uncategorized","Uncategorized","No","-700.00"
"04/26/2025","Credit Card","SPOT FREE CAR WASH CEDAR CEDAR CITY UT","Debit","Travel & Transportation","Auto/Vehicle Repair & Maintenance","No","-5.00"
"04/26/2025","Credit Card","LIN'S SUPERMARKET # SALT LAKE CITUT","Debit","Food & Dining","Groceries","No","-6.87"
"04/26/2025","Main","XFR from x4780 to x4327-Pay off credit card","Debit","Miscellaneous Income","Deposit","No","-131.47"
"04/26/2025","Credit Card","TST*2ND EAST LLC CEDAR CITY UT","Debit","Uncategorized","Uncategorized","No","-22.40"
"04/19/2025","Credit Card","1950 GREAT CLIPS OF CEDARCEDAR CITY UT","Debit","Health & Lifestyle","Personal Care","No","-26.00"
"04/19/2025","Credit Card","WAL-MART #1438 CEDAR CITY UT","Debit","Food & Dining","Groceries","No","-80.84"
"04/17/2025","Credit Card","SOUTHERNUTAH CEDAR CITY UT","Debit","Uncategorized","Uncategorized","No","-24.63"
"04/17/2025","Main","GUSTO/PAY 885615","Credit","Uncategorized","Uncategorized","No","440.73"
"04/15/2025","Card","Ch JesusChrist/DONATION","Debit","Uncategorized","Uncategorized","No","-10.00"
"04/14/2025","Credit Card","PAYMENT - THANK YOU","Credit","Transfers & Adjustments","Credit Card Payment","No","396.51"
"04/14/2025","Main","XFR from x4780 to x4327-Pay off card","Debit","Miscellaneous Income","Deposit","No","-396.51"
"04/12/2025","Main","XFR from x4780 to x4327-Pay off card","Debit","Miscellaneous Income","Deposit","No","-396.51"
"04/10/2025","Credit Card","WAL-MART #1438 CEDAR CITY UT","Debit","Food & Dining","Groceries","No","-109.21"
"04/08/2025","Credit Card","STATE FARM INSURANCE 800-956-6310 IL","Debit","Services","Accounting & Financial Services","No","-92.67"
"04/05/2025","Credit Card","ERNIE'S TOO-CEDAR CITY CEDAR CITY UT","Debit","Uncategorized","Uncategorized","No","-35.95"
"04/05/2025","Credit Card","LIN'S SUPERMARKET # SALT LAKE CITUT","Debit","Food & Dining","Groceries","No","-19.09"
"04/03/2025","Main","GUSTO/PAY 211971","Credit","Uncategorized","Uncategorized","No","428.03"
"04/03/2025","Credit Card","WAL-MART #1438 CEDAR CITY UT","Debit","Food & Dining","Groceries","No","-66.95"
"04/02/2025","Credit Card","TMOBILE*PREPD AUTOPY 877-778-2106 WA","Debit","Uncategorized","Uncategorized","No","-11.10"
"03/29/2025","Credit Card","Store West Jordan UT","Debit","Uncategorized","Uncategorized","No","-21.17"
"03/29/2025","Credit Card","7-ELEVEN 38572 SANDY UT","Debit","Food & Dining","Groceries","No","-25.37"
"03/29/2025","Credit Card","LIN'S SUPERMARKET # SALT LAKE CITUT","Debit","Food & Dining","Groceries","No","-15.00"
"03/26/2025","Main","XFR from x4780 to x4327-Pay off credit card","Debit","Miscellaneous Income","Deposit","No","-386.24"
"03/26/2025","Credit Card","PAYMENT - THANK YOU","Credit","Transfers & Adjustments","Credit Card Payment","No","386.24"
"03/24/2025","Card","POS PUR-TST*SILVER SILO BAKERY Cedar City UT","Debit","Food & Dining","Restaurants","No","-24.08"
"03/24/2025","Credit Card","PAYMENT - THANK YOU","Credit","Transfers & Adjustments","Credit Card Payment","No","113.76"
"03/24/2025","Main","XFR from x4780 to x4327-pay off credit card","Debit","Miscellaneous Income","Deposit","No","-113.76"
"03/24/2025","Card","POS PUR-1950 GREAT CLIPS OF CED CEDAR CITY UT","Debit","Health & Lifestyle","Personal Care","No","-26.00"
"03/21/2025","Card","POS PUR EMV-SHELL SERVICE STATION MEADOW UT","Debit","Food & Dining","Restaurants","No","-29.51"
"03/20/2025","Credit Card","CHEVRON 0072828 CEDAR CITY UT","Debit","Travel & Transportation","Gas & Fuel","No","-43.31"
"03/20/2025","Credit Card","SHELL OIL10015081010 MEADOW UT","Debit","Travel & Transportation","Gas & Fuel","No","-342.93"
"03/20/2025","Main","GUSTO/PAY 721851","Credit","Uncategorized","Uncategorized","No","199.25"
